position     E_HHG_pm        E_HHG_l           E_HHG_s        Phi_LH_l        Phi_LH_s     n_source 
(mm)         (arb.units)     (arb.units)      (arb.units)    (rad)           (rad)         (1/s)    
0.000000000        0.000000000           0.000000000            0.000000000         -246.191457822           97.924853216          73635829783220859401404416.000000000    
0.050000000        0.000000000           0.000000000            0.000000000         -245.632419037           96.314320741          36193031617386036456325120.000000000    
0.100000000        0.000000000           0.000000000            0.000000000         -245.082399779           94.706053308          17663961413763660418908160.000000000    
0.150000000        0.000000000           0.000000000            0.000000000         -244.541334105           93.100090071          69747309705744791013163008.000000000    
0.200000000        0.000000000           0.000000000            0.000000000         -244.009147554           91.496470187          495875670810538418448105472.000000000    
0.250000000        0.000000000           0.000000000            0.000000000         -243.485758201           89.895232815          294540744938134352055762944.000000000    
0.300000000        0.000000000           0.000000000            0.000000000         -242.971077631           88.296417111          140785637198396001722826752.000000000    
0.350000000        0.000000000           0.000000000            0.000000000         -242.465011850           86.700062237          288627731206774309787795456.000000000    
0.400000000        0.000000000           0.000000000            0.000000000         -241.967462123           85.106207352          2597166157870768548902600704.000000000    
0.450000000        0.000000000           0.000000000            0.000000000         -241.478325746           83.514891619          2136675960282166685239083008.000000000    
0.500000000        0.000000000           0.000000000            0.000000000         -240.997496755           81.926154200          1051005539575857589583347712.000000000    
0.550000000        0.000000000           0.000000000            0.000000000         -240.524866583           80.340034260          1190495978022976042014081024.000000000    
0.600000000        0.000000000           0.000000000            0.000000000         -240.060324646           78.756570964          10803627164743964233897607168.000000000    
0.650000000        0.000000000           0.000000000            0.000000000         -239.603758889           77.175803478          13871334427569892926037164032.000000000    
0.700000000        0.000000000           0.000000000            0.000000000         -239.155056270           75.597770969          7091441607799992595895025664.000000000    
0.750000000        0.000000000           0.000000000            0.000000000         -238.714103202           74.022512606          5474264664915890761925394432.000000000    
0.800000000        0.000000000           0.000000000            0.000000000         -238.280785947           72.450067559          39016912188056258739653574656.000000000    
0.850000000        0.000000000           0.000000000            0.000000000         -237.854990961           70.880474999          80164343035280320554747297792.000000000    
0.900000000        0.000000000           0.000000000            0.000000000         -237.436605212           69.313774096          42986638787995257410196340736.000000000    
0.950000000        0.000000000           0.000000000            0.000000000         -237.025516443           67.750004024          26368122763764405192588525568.000000000    
1.000000000        0.000000000           0.000000000            0.000000000         -236.621613412           66.189203956          119777328560318990240825999360.000000000    
1.050000000        0.000000001           0.000000001            0.000000001         -236.224786094           64.631413069          401407027667615366808120328192.000000000    
1.100000000        0.000000001           0.000000001            0.000000001         -235.834925852           63.076670537          235024152198716271765909143552.000000000    
1.150000000        0.000000001           0.000000001            0.000000000         -235.451925574           61.525015539          132839515146729137053158604800.000000000    
1.200000000        0.000000002           0.000000001            0.000000000         -235.075679798           59.976487252          347119958818541793664879820800.000000000    
1.250000000        0.000000004           0.000000003            0.000000002         -234.706084793           58.431124856          1684510330546774480284521857024.000000000    
1.300000000        0.000000005           0.000000004            0.000000003         -234.343038633           56.888967531          1163871206229280185118034493440.000000000    
1.350000000        0.000000006           0.000000004            0.000000002         -233.986441245           55.350054460          658870949558530450354230788096.000000000    
1.400000000        0.000000007           0.000000005            0.000000002         -233.636194433           53.814424823          1008477796775356994149196759040.000000000    
1.450000000        0.000000014           0.000000009            0.000000008         -233.292201894           52.282117807          5844263675715834451264263946240.000000000    
1.500000000        0.000000020           0.000000014            0.000000010         -232.954369211           50.753172594          5241887260526679678117027512320.000000000    
1.550000000        0.000000023           0.000000016            0.000000008         -232.622603837           49.227628371          3053264621060616985997467451392.000000000    
1.600000000        0.000000026           0.000000018            0.000000006         -232.296815062           47.705524326          3063860876500101824683362484224.000000000    
1.650000000        0.000000045           0.000000030            0.000000023         -231.976913975           46.186899646          17013054963273545763830974382080.000000000    
1.700000000        0.000000067           0.000000048            0.000000036         -231.662813412           44.671793520          21539843495100887008209138614272.000000000    
1.750000000        0.000000081           0.000000058            0.000000030         -231.354427896           43.160245138          12948248538390708729523086557184.000000000    
1.800000000        0.000000091           0.000000064            0.000000020         -231.051673568           41.652293693          9897123028509043789520825221120.000000000    
1.850000000        0.000000135           0.000000092            0.000000052         -230.754468122           40.147978376          43142180399940186932063825297408.000000000    
1.900000000        0.000000217           0.000000153            0.000000114         -230.462730717           38.647338381          80388754338843619990142910988288.000000000    
1.950000000        0.000000267           0.000000192            0.000000108         -230.176381904           37.150412903          50262976132322888783579624505344.000000000    
2.000000000        0.000000300           0.000000214            0.000000076         -229.895343536           35.657241136          33577038890116126370106034880512.000000000    
2.050000000        0.000000397           0.000000275            0.000000101         -229.619538683           34.167862279          100114569436443107060903265173504.000000000    
2.100000000        0.000000654           0.000000466            0.000000340         -229.348891541           32.682315528          267379978934385328862389143076864.000000000    
2.150000000        0.000000824           0.000000598            0.000000364         -229.083327347           31.200640083          179261177672717101148731187658752.000000000    
2.200000000        0.000000932           0.000000675            0.000000273         -228.822772280           29.722875143          115072434619929981631222259908608.000000000    
2.250000000        0.000001133           0.000000803            0.000000200         -228.567153382           28.249059910          216551069674199733095645543661568.000000000    
2.300000000        0.000001834           0.000001313            0.000000901         -228.316398460           26.779233586          766851365580086990949320467939328.000000000    
2.350000000        0.000002367           0.000001728            0.000001097         -228.070436005           25.313435373          589563109976309377822643086950400.000000000    
2.400000000        0.000002709           0.000001979            0.000000871         -227.829195104           23.851704478          383298900990137514126013571792896.000000000    
2.450000000        0.000003140           0.000002264            0.000000524         -227.592605356           22.394080103          488286581925291336516458940203008.000000000    
2.500000000        0.000004807           0.000003457            0.000002055         -227.360596791           20.940601457          1914423086599050576233237015691264.000000000    
2.550000000        0.000006350           0.000004654            0.000002925         -227.133099795           19.491307747          1794514343973725932187839891505152.000000000    
2.600000000        0.000007365           0.000005415            0.000002490         -226.910045030           18.046238181          1195065511340396791618725413388288.000000000    
2.650000000        0.000008302           0.000006057            0.000001566         -226.691363369           16.605431968          1116795146067277136672565193867264.000000000    
2.700000000        0.000011696           0.000008447            0.000003852         -226.476985821           15.168928321          4095144835769310997406189858324480.000000000    
2.750000000        0.000015845           0.000011624            0.000006995         -226.266843472           13.736766449          5069430220727590946889723105247232.000000000    
2.800000000        0.000018643           0.000013754            0.000006600         -226.060867421           12.308985568          3460428335911195328568372720828416.000000000    
2.850000000        0.000020795           0.000015277            0.000004521         -225.858988727           10.885624889          2694811962270309714433444272930816.000000000    
2.900000000        0.000026994           0.000019616            0.000005798         -225.661138352           9.466723629          7859500963145708108124794302496768.000000000    
2.950000000        0.000037307           0.000027429            0.000015348         -225.467247115           8.052321004          13238979703052793877296528563896320.000000000    
3.000000000        0.000044483           0.000032972            0.000016496         -225.277245647           6.642456230          9327243773912668190722820258398208.000000000    
3.050000000        0.000049597           0.000036711            0.000012415         -225.091064349           5.237168527          6729022943005236411418181856395264.000000000    
3.100000000        0.000060219           0.000044213            0.000007427         -224.908633358           3.836497113          14150694683075023840739353232932864.000000000    
3.150000000        0.000083543           0.000061798            0.000030729         -224.729882512           2.440481208          31459824561594261113737573579096064.000000000    
3.200000000        0.000100739           0.000075230            0.000038085         -224.554741321           1.049160036          23484153012014575251890793783230464.000000000    
3.250000000        0.000112858           0.000084345            0.000031357         -224.383138945           -0.337427184          16755839969943903966900492387221504.000000000    
3.300000000        0.000130697           0.000097177            0.000014712         -224.215004168           -1.719241225          24972371810275494226208326280019968.000000000    
3.350000000        0.000177884           0.000132692            0.000054054         -224.050265385           -3.096242864          66877189580402794032363755137925120.000000000    
3.400000000        0.000216508           0.000163015            0.000079095         -223.888850586           -4.468392875          55423153551068779084017740363595776.000000000    
3.450000000        0.000244132           0.000184210            0.000071360         -223.730687346           -5.835652030          40132383070927619458577330354520064.000000000    
3.500000000        0.000274518           0.000206502            0.000041274         -223.575702816           -7.197981103          44694163600454911648825436291465216.000000000    
3.550000000        0.000359572           0.000270416            0.000078824         -223.423823721           -8.555340864          126663838522267196462538785634123776.000000000    
3.600000000        0.000441162           0.000334388            0.000146189         -223.274976360           -9.907692082          123018656530845648212402351166717952.000000000    
3.650000000        0.000500635           0.000380579            0.000146873         -223.129086603           -11.254995527          90789329083773702465213356176310272.000000000    
3.700000000        0.000554077           0.000420472            0.000101256         -222.986079901           -12.597211967          82597338815560522385514531756441600.000000000    
3.750000000        0.000689934           0.000522290            0.000083932         -222.845881291           -13.934302167          212590101656228228825025873029627904.000000000    
3.800000000        0.000852454           0.000648893            0.000239757         -222.708415406           -15.266226894          257481526239651932126587440366354432.000000000    
3.850000000        0.000973192           0.000743261            0.000276661         -222.573606486           -16.592946912          193668945781480566978187361129594880.000000000    
3.900000000        0.001069540           0.000816201            0.000218655         -222.441378393           -17.914422984          156472054703511831410708791139762176.000000000    
3.950000000        0.001273876           0.000969426            0.000049608         -222.311654630           -19.230615874          335980445696157048350494856698658816.000000000    
4.000000000        0.001578129           0.001205316            0.000349808         -222.184358354           -20.541486341          506503402263974686412065020550578176.000000000    
4.050000000        0.001809955           0.001387463            0.000477466         -222.059412398           -21.846995147          390736822222071715496620832938000384.000000000    
4.100000000        0.001987452           0.001523673            0.000422763         -221.936739294           -23.147103050          302895893405288345713703040183173120.000000000    
4.150000000        0.002276065           0.001741029            0.000144991         -221.816261294           -24.441770808          498648041870457205340074755577872384.000000000    
4.200000000        0.002804640           0.002149193            0.000441750         -221.697900395           -25.730959178          924620676169593434410398172340813824.000000000    
4.250000000        0.003226997           0.002481794            0.000749353         -221.581578364           -27.014628916          748020598997133647559212611730931712.000000000    
4.300000000        0.003550504           0.002732554            0.000741745         -221.467216763           -28.292740778          580089925151963566824205061453774848.000000000    
4.350000000        0.003954893           0.003038958            0.000430721         -221.354736976           -29.565255515          734158860917803564184840537517326336.000000000    
4.400000000        0.004802638           0.003691529            0.000457246         -221.244060240           -30.832133881          1558236239626817014373294033405476864.000000000    
4.450000000        0.005535066           0.004267764            0.001060724         -221.135107673           -32.093336629          1363050253397169341033834582435168256.000000000    
4.500000000        0.006103703           0.004711007            0.001179356         -221.027800295           -33.348824507          1071421219296412705712528476734488576.000000000    
4.550000000        0.006680731           0.005150430            0.000867311         -220.922059071           -34.598558266          1100780032220641754525106842776895488.000000000    
4.600000000        0.007906551           0.006088904            0.000358911         -220.817804927           -35.842498654          2367602410257967987037960102112919552.000000000    
4.650000000        0.009119182           0.007036209            0.001360353         -220.714958787           -37.080606417          2371317621652768336501334371261743104.000000000    
4.700000000        0.010074495           0.007779984            0.001726021         -220.613441604           -38.312842302          1891408874019693925813676475454324736.000000000    
4.750000000        0.010922157           0.008425800            0.001464947         -220.513174384           -39.539167053          1699187603483831504718754843354726400.000000000    
4.800000000        0.012577654           0.009682676            0.000509047         62.329260601           241.983797408          3359899817222463764735626828771753984.000000000    
4.850000000        0.014498756           0.011166412            0.001647733         62.427264499           240.769412692          3947546343424753023661508939344773120.000000000    
4.900000000        0.016034348           0.012354458            0.002383558         62.524254779           239.561056881          3194714048199833641555443666206588928.000000000    
